Direction,1,10,20,30,50,100
N,0.46,0.48,0.49,0.51,0.52,0.57
NNE,0.52,0.64,0.68,0.69,0.72,0.75
NE,0.56,0.67,0.69,0.71,0.72,0.75
ENE,0.59,0.68,0.71,0.72,0.73,0.76
E,0.59,0.69,0.71,0.73,0.74,0.76
ESE,0.54,0.65,0.67,0.69,0.71,0.73
SE,0.35,0.46,0.49,0.51,0.53,0.56
SSE,0.31,0.43,0.47,0.49,0.51,0.55
S,0.3,0.44,0.48,0.5,0.53,0.57
SSW,0.32,0.47,0.51,0.54,0.57,0.61
SW,0.3,0.44,0.47,0.5,0.53,0.57
WSW,0.32,0.46,0.5,0.53,0.56,0.6
W,0.33,0.47,0.51,0.54,0.57,0.61
WNW,0.32,0.44,0.48,0.5,0.53,0.56
NW,0.3,0.4,0.42,0.44,0.46,0.49
NNW,0.34,0.44,0.47,0.49,0.52,0.55
